axiom_name,file,label,decider,source_id,section,clause_text
text-save-act-is-law,facts,TEXT_FACT,legislature,hr22-eh,§ 1,"This Act may be cited as the ""Safeguard American Voter Eligibility Act"" or the ""SAVE Act""."
text-save-act-documentary-proof-requirement,text_rules,PROHIBITION,legislature,hr22-eh,§ 2(b) / NVRA § 4(b); § 2(d) / NVRA § 6(e)(1); § 2(f) / NVRA § 8(j)(1),the State shall not accept and process an application to register to vote in an election for Federal office unless the applicant presents documentary proof of United States citizenship with the application
text-documentary-proof-from-qualifying-documents,facts,BRIDGE_RULE,legislature,hr22-eh,§ 2(a) / NVRA § 3(b),"the term 'documentary proof of United States citizenship' means, with respect to an applicant for voter registration, any of the following ... (1) A form of identification issued consistent with the requirements of the REAL ID Act of 2005 that indicates the applicant is a citizen of the United States. ... (2) A valid United States passport. ... (5) A valid government-issued photo identification card issued by a Federal, State or Tribal government other than an identification described in paragraphs (1) through (4), but only if presented together with one or more of the following"
scenario-person,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated test scenario (shared by both party models): citizen-a is a person
scenario-citizen,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated test scenario (shared by both party models): citizen-a is a U.S. citizen
scenario-eligible,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated test scenario (shared by both party models): citizen-a is eligible to vote
scenario-application,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated test scenario (shared by both party models): registration-attempt-a is a voter registration application
scenario-attempts-to-register,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated test scenario (shared by both party models): citizen-a attempts to register via registration-attempt-a
scenario-no-documentary-proof,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated test scenario (shared by both party models): citizen-a does not possess documentary proof
challenger-fundamental-right-rule,challenger,DOCTRINAL_RULE,court,harper-v-virginia,383 U.S. at 670,a State violates the Equal Protection Clause... whenever it makes the affluence of the voter or payment of any fee an electoral standard
challenger-fundamental-right-rule,challenger,DOCTRINAL_RULE,court,reynolds-v-sims,377 U.S. at 555,the right of suffrage is a fundamental matter in a free and democratic society
challenger-documentary-proof-is-undue-burden,challenger,INTERPRETATION_CHALLENGER,court,crawford-v-marion,553 U.S. at 198-202 (Stevens plurality),"a somewhat heavier burden may be placed on a limited number of persons. They include elderly persons born out of State, who may have difficulty obtaining a birth certificate ... the new identification requirement may have imposed a special burden on their right to vote -- interpretation: for citizens in these classes the documentary-proof requirement is an undue burden"
challenger-undue-burden-defeats-regulation,challenger,INTERPRETATION_CHALLENGER,court,anderson-v-celebrezze,460 U.S. at 789,"It must first consider the character and magnitude of the asserted injury to the rights protected by the First and Fourteenth Amendments that the plaintiff seeks to vindicate. It then must identify and evaluate the precise interests put forward by the State as justifications for the burden imposed by its rule -- interpretation: where the burden is undue and the interest does not justify it, the regulation is invalid"
challenger-bridge-right-to-vote,challenger,BRIDGE_RULE,court,const-amend5,Amend. V,"nor shall any person be... deprived of life, liberty, or property, without due process of law"
challenger-bridge-regulation-invalid,challenger,BRIDGE_RULE,court,anderson-v-celebrezze,460 U.S. at 789,It must first consider the character and magnitude of the asserted injury to the rights protected by the First and Fourteenth Amendments that the plaintiff seeks to vindicate. It then must identify and evaluate the precise interests put forward by the State as justifications for the burden imposed by its rule -- interpretation: Anderson-Burdick balancing: a severe burden without sufficient justification makes the regulation invalid
challenger-scenario-no-presentation,challenger,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated test scenario: citizen-a does not present documentary proof with application
challenger-scenario-no-fault,challenger,EMPIRICAL_ASSUMPTION,fact-finder,fish-v-kobach,840 F.3d at 734,"over 18,000 Kansans stood to lose the right to vote in the coming general elections"
challenger-scenario-material-burden,challenger,EMPIRICAL_ASSUMPTION,fact-finder,crawford-v-marion,553 U.S. at 199 (Stevens plurality),persons who because of economic or other personal limitations may find it difficult either to secure a copy of their birth certificate or to assemble the other required documentation to obtain a state-issued identification
challenger-scenario-alternative-process-denied,challenger,INTERPRETATION_CHALLENGER,court,hr22-eh,§ 2(f) / NVRA § 8(j)(2)(A),such official shall make a determination — interpretation: the determination is discretionary and may result in denial
government-valid-regulation-rule,government,DOCTRINAL_RULE,court,crawford-v-marion,553 U.S. at 189-191 (Stevens plurality),advanced by the State are therefore sufficient to defeat petitioners' facial challenge to SEA 483
government-bridge-defense-validates,government,BRIDGE_RULE,court,crawford-v-marion,553 U.S. at 189-191,advanced by the State are therefore sufficient to defeat petitioners' facial challenge to SEA 483 -- interpretation: a regulation that satisfies the Anderson-Burdick standard is constitutionally valid
government-election-integrity-interest,government,DOCTRINAL_RULE,court,crawford-v-marion,553 U.S. at 194-196,there is no question about the legitimacy or importance of the State's interest in counting only the votes of eligible voters
government-important-interest,government,DOCTRINAL_RULE,court,crawford-v-marion,553 U.S. at 194-196,There is no question about the legitimacy or importance of the State's interest in counting only the votes of eligible voters
government-reasonable-requirement,government,INTERPRETATION_GOVERNMENT,court,crawford-v-marion,553 U.S. at 198,"for most voters who need them, the inconvenience of making a trip to the BMV... does not qualify as a substantial burden"
government-procedure-evenhanded,government,INTERPRETATION_GOVERNMENT,court,burdick-v-takushi,504 U.S. at 434,"when a state election law provision imposes only ""reasonable, nondiscriminatory restrictions"" upon the First and Fourteenth Amendment rights of voters"
government-rationally-connected,government,INTERPRETATION_GOVERNMENT,court,crawford-v-marion,553 U.S. at 194,The application of the statute to the vast majority of Indiana voters is amply justified by the valid interest in protecting
government-adequate-alternative,government,INTERPRETATION_GOVERNMENT,court,hr22-eh,§ 2(f) / NVRA § 8(j)(2)(A),"each State shall establish a process under which an applicant who cannot provide documentary proof of United States citizenship under paragraph (1) may, if the applicant signs an attestation under penalty of perjury ... submit such other evidence to the appropriate State or local official demonstrating that the applicant is a citizen of the United States -- interpretation: the process provides an adequate safety valve"
government-burden-not-severe,government,EMPIRICAL_ASSUMPTION,fact-finder,crawford-v-marion,553 U.S. at 198,the inconvenience... does not qualify as a substantial burden on the right to vote
government-assume-right-to-vote-arguendo,government,INTERPRETATION_GOVERNMENT,party-stipulation,n/a,n/a,Government concedes arguendo that citizen-a has a protected right to vote
government-scenario-alternative-process-approved,government,INTERPRETATION_GOVERNMENT,court,hr22-eh,§ 2(f) / NVRA § 8(j)(2)(A),such official shall make a determination as to whether the applicant has sufficiently established United States citizenship -- interpretation: the process provides a guaranteed path to registration for an eligible citizen
semantic-a-mandatory-approval,hinge_mandatory,INTERPRETIVE_ASSUMPTION,court,hr22-eh,§ 2(f) / NVRA § 8(j)(2)(A)(i),"""shall make a determination"" — interpretation: mandatory duty to approve when attestation + evidence satisfies EAC standards"
semantic-b-discretionary-denial,hinge_discretionary,INTERPRETIVE_ASSUMPTION,court,hr22-eh,§ 2(f) / NVRA § 8(j)(2)(A)(i),"""shall make a determination as to whether the applicant has sufficiently established"" — interpretation: duty to decide, but determination may be denial"
text-save-act-removal-upon-verified-information,text_rules,PROHIBITION,legislature,hr22-eh,§ 2(f) / NVRA § 8(k),A State shall remove an individual who is not a citizen of the United States from the official list of eligible voters ... at any time upon receipt of documentation or verified information that a registrant is not a United States citizen.
scenario-b-person,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated removal scenario (shared by both party models): citizen-b is a person
scenario-b-citizen,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated removal scenario (shared by both party models): citizen-b is a U.S. citizen
scenario-b-eligible,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated removal scenario (shared by both party models): citizen-b is eligible to vote
